time,_pika_interface_velocity_max,_pika_interface_velocity_min,grad_T_y,k_x_eff,k_y_eff,temperature
30,3.0823036743125e-07,-4.8896545330284e-07,250,1.2676372620076,1.1997277828053,263.15
60,3.0799823064065e-07,-3.4491314281206e-07,250,1.248148476183,1.1985498490184,263.15
90,3.1606577932237e-07,-3.0313846414161e-07,250,1.2481611050095,1.1985744217779,263.15
120,3.2044533266193e-07,-2.9981679207458e-07,250,1.2481762297891,1.1985997227317,263.15
150,3.2330621177348e-07,-2.9749565910391e-07,250,1.2481913762239,1.1986242652486,263.15
180,3.2535344334855e-07,-2.9430579903984e-07,250,1.2482062107882,1.198647941343,263.15
210,3.2690897180671e-07,-2.9094285132741e-07,250,1.2482206559922,1.1986707764754,263.15
240,3.2813208525923e-07,-2.8762952193047e-07,250,1.2482347233742,1.1986926313283,263.15
270,3.2911177956711e-07,-2.8444537530764e-07,250,1.2482483885851,1.1987133480398,263.15
300,3.2990395322107e-07,-2.814167566352e-07,250,1.2482616992793,1.1987331324133,263.15
330,3.3054701245692e-07,-2.7854812836806e-07,250,1.2482745033535,1.1987519338519,263.15
360,3.3106904632138e-07,-2.7948163415375e-07,250,1.248286856036,1.1987698801337,263.15
390,3.3149148382433e-07,-2.8022252497962e-07,250,1.2482988313735,1.1987876277398,263.15
420,3.3183114704514e-07,-2.8075618712271e-07,250,1.2483104841243,1.1988052383516,263.15
450,3.3210150462002e-07,-2.8110748535299e-07,250,1.2483218369465,1.1988224534768,263.15
480,3.3231347579198e-07,-2.8129860028697e-07,250,1.2483328940576,1.1988393672558,263.15
510,3.3247603953881e-07,-2.8134919979511e-07,250,1.2483436776748,1.1988560419237,263.15
540,3.3259661917926e-07,-2.812766681068e-07,250,1.2483541531296,1.1988723289989,263.15
570,3.326813895431e-07,-2.8279891149933e-07,250,1.2483643514556,1.1988883702242,263.15
600,3.3273551585711e-07,-2.8405448781558e-07,250,1.2483743500323,1.1989043693199,263.15
630,3.3276334148511e-07,-2.8504993140671e-07,250,1.2483841352917,1.1989195387675,263.15
660,3.3276854002645e-07,-2.858214757157e-07,250,1.2483936700257,1.198933949674,263.15
690,3.3275422632184e-07,-2.8640021900339e-07,250,1.2484027558966,1.1989473841165,263.15
720,3.3272304562393e-07,-2.8681283967638e-07,250,1.2484116182405,1.1989598324157,263.15
750,3.3267725460211e-07,-2.9000315356102e-07,250,1.2484200890486,1.1989711955878,263.15
780,3.326187865661e-07,-2.9299725584723e-07,250,1.2484283615954,1.1989814315642,263.15
810,3.3254930047978e-07,-2.947930357342e-07,250,1.2484361639757,1.1989905711174,263.15
840,3.3247022539724e-07,-2.9601120684094e-07,250,1.2484435050977,1.1989987010104,263.15
870,3.323827989429e-07,-2.9689082270559e-07,250,1.2484504397257,1.1990055655271,263.15
900,3.3228809315747e-07,-2.9754346371061e-07,250,1.2484569111855,1.1990111360354,263.15
930,3.3218703780419e-07,-2.9802866056386e-07,250,1.2484628734243,1.1990153591861,263.15
960,3.3208045890693e-07,-2.9838155397124e-07,250,1.2484684116538,1.1990187693285,263.15
990,3.319690760403e-07,-2.9862464874112e-07,250,1.2484735124286,1.1990217686394,263.15
1020,3.318535134044e-07,-2.9877337435014e-07,250,1.2484780900982,1.1990234066741,263.15
1050,3.317343210573e-07,-2.9910889165876e-07,250,1.2484822268959,1.1990237601015,263.15
1080,3.3161197952545e-07,-3.0007057745862e-07,250,1.2484858958997,1.1990230538382,263.15
1110,3.3148690906583e-07,-3.0099578502925e-07,250,1.2484891897527,1.1990217144451,263.15
1140,3.3135948185455e-07,-3.018852833033e-07,250,1.2484921827751,1.1990223297154,263.15
1170,3.3123002760106e-07,-3.027397222325e-07,250,1.2484947877776,1.1990234918829,263.15
1200,3.3109883835296e-07,-3.0355963277396e-07,250,1.2484968650245,1.1990240377776,263.15
1230,3.3096617709841e-07,-3.0434542667068e-07,250,1.2484984528832,1.1990234750584,263.15
1260,3.3083227323496e-07,-3.0509739438807e-07,250,1.2484995549798,1.1990216457698,263.15
1290,3.3069732849288e-07,-3.0581570299485e-07,250,1.248500226495,1.1990188865463,263.15
1320,3.305615225012e-07,-3.0650039150055e-07,250,1.2485004450647,1.1990159085443,263.15
1350,3.304250150575e-07,-3.0715136507083e-07,250,1.248500186009,1.1990121679288,263.15
1380,3.3028794809635e-07,-3.077683874896e-07,250,1.2484993741956,1.1990073039429,263.15
1410,3.3015044361422e-07,-3.0835107163041e-07,250,1.248498187374,1.1990016863656,263.15
1440,3.3001260707181e-07,-3.088988676449e-07,250,1.2484965862906,1.1989966894927,263.15
1470,3.2987454500288e-07,-3.094110486203e-07,250,1.2484944624174,1.1989910033202,263.15
1500,3.2973634868703e-07,-3.0988669317401e-07,250,1.2484918192605,1.1989845617655,263.15
1530,3.2959809387838e-07,-3.1032466460957e-07,250,1.2484887024741,1.1989775611785,263.15
1560,3.2945984845203e-07,-3.1072358602271e-07,250,1.2484852721049,1.1989704264716,263.15
1590,3.2932167220004e-07,-3.1108181046506e-07,250,1.2484814117178,1.1989627975967,263.15
1620,3.2918362454452e-07,-3.1139738539588e-07,250,1.2484771006599,1.1989551535746,263.15
1650,3.2904575668853e-07,-3.11668010294e-07,250,1.2484723367269,1.1989468035873,263.15
1680,3.2890811108611e-07,-3.1189098643279e-07,250,1.2484672343417,1.1989377143891,263.15
1710,3.287707239889e-07,-3.1206315705399e-07,250,1.2484623829847,1.1989301375956,263.15
1740,3.2863362694474e-07,-3.1218083609822e-07,250,1.2484577429535,1.1989233392095,263.15
1770,3.2849684718478e-07,-3.1223972320527e-07,250,1.248453212815,1.1989162896627,263.15
1800,3.2836040442159e-07,-3.1223480296236e-07,250,1.2484483309852,1.1989088315798,263.15
1830,3.2822431811648e-07,-3.1216022160632e-07,250,1.2484433109273,1.1989019297331,263.15
1860,3.2808861160733e-07,-3.1200914737112e-07,250,1.2484382099826,1.1988957564576,263.15
1890,3.2795330149783e-07,-3.117736001392e-07,250,1.2484329695825,1.1988909605074,263.15
1920,3.27818401155e-07,-3.1144424483269e-07,250,1.2484277075604,1.1988883711546,263.15
1950,3.2768454378653e-07,-3.1101014855359e-07,250,1.2484222339927,1.1988869757905,263.15
1980,3.2755172254241e-07,-3.1045849453583e-07,250,1.248416386264,1.1988852831946,263.15
2010,3.2741986398926e-07,-3.1019982960629e-07,250,1.2484101879525,1.1988834154164,263.15
2040,3.2728890993388e-07,-3.10773833069e-07,250,1.2484041619572,1.1988818731245,263.15
2070,3.27158810086e-07,-3.1134014100712e-07,250,1.2483984276508,1.1988807163921,263.15
2100,3.2702951847387e-07,-3.1189892559787e-07,250,1.2483926116913,1.1988793124811,263.15
2130,3.2690099166524e-07,-3.1245028586592e-07,250,1.2483864472798,1.1988779666226,263.15
2160,3.2677318782623e-07,-3.1299433913514e-07,250,1.2483808678336,1.1988788395855,263.15
2190,3.2664606595986e-07,-3.1353123778116e-07,250,1.2483757009532,1.1988813184138,263.15
2220,3.2651958608565e-07,-3.1406113733195e-07,250,1.2483713554535,1.1988851637983,263.15
2250,3.2639370810684e-07,-3.1458418148859e-07,250,1.2483669064707,1.1988894780585,263.15
2280,3.26268392777e-07,-3.1510050054275e-07,250,1.2483622543746,1.1988943061747,263.15
2310,3.2614360150114e-07,-3.1561021303559e-07,250,1.2483575295682,1.1988992473605,263.15
2340,3.2601929382099e-07,-3.1611342790112e-07,250,1.2483528983931,1.1989046083287,263.15
2370,3.2589543261273e-07,-3.1661024625042e-07,250,1.2483483178902,1.1989111755769,263.15
2400,3.2577198362954e-07,-3.1710076223979e-07,250,1.2483436505563,1.1989181855093,263.15
2430,3.2564889707202e-07,-3.1758497463223e-07,250,1.2483390758081,1.198926636911,263.15
2460,3.2552612697196e-07,-3.1806294675127e-07,250,1.2483347683172,1.1989379562092,263.15
2490,3.2540364434681e-07,-3.1853475646974e-07,250,1.2483302345789,1.1989497394587,263.15
2520,3.2528141928623e-07,-3.1900048111044e-07,250,1.2483264648219,1.1989625130577,263.15
2550,3.2515942061766e-07,-3.1946019085834e-07,250,1.2483233652457,1.1989758823811,263.15
2580,3.2503761654326e-07,-3.1991394769992e-07,250,1.2483205132286,1.1989895911585,263.15
2610,3.2491597479878e-07,-3.2036180679821e-07,250,1.2483179390254,1.1990047939271,263.15
2640,3.2479446306132e-07,-3.2080381792362e-07,250,1.248316410798,1.1990220726328,263.15
2670,3.2467304858123e-07,-3.2124002646935e-07,250,1.2483153547798,1.199039745145,263.15
2700,3.2455169637996e-07,-3.2167047409539e-07,250,1.248314990084,1.1990579700311,263.15
2730,3.2443037153795e-07,-3.220951797988e-07,250,1.2483146898891,1.1990762335391,263.15
2760,3.243090502216e-07,-3.2251346280489e-07,250,1.248314730681,1.1990946939323,263.15
